#	J.D.-2400000	JD_UTC	rel_flux_T1	rel_flux_err_T1
111	60114.746408	2460114.746408	0.429699	0.003177
112	60114.746652	2460114.746652	0.428594	0.003156
113	60114.746895	2460114.746895	0.429192	0.003227
114	60114.747139	2460114.747139	0.424935	0.004938
115	60114.747383	2460114.747383	0.419614	0.004788
116	60114.747627	2460114.747627	0.429652	0.008580
117	60114.747870	2460114.747870	0.435813	0.006195
118	60114.748114	2460114.748114	0.432918	0.006516
119	60114.748359	2460114.748359	0.426692	0.010495
120	60114.748602	2460114.748602	0.432611	0.005610
121	60114.748845	2460114.748845	0.372799	0.039921
122	60114.749089	2460114.749089	0.446242	0.018569
123	60114.749333	2460114.749333	0.439395	0.006553
124	60114.749577	2460114.749577	0.429165	0.006061
125	60114.749820	2460114.749820	0.431720	0.007401
126	60114.750063	2460114.750063	0.432231	0.004690
127	60114.750307	2460114.750307	0.429848	0.003342
128	60114.750550	2460114.750550	0.429115	0.003361
129	60114.750794	2460114.750794	0.427822	0.003358
130	60114.751038	2460114.751038	0.432368	0.002852
131	60114.751282	2460114.751282	0.425934	0.003435
132	60114.751525	2460114.751525	0.428975	0.002855
133	60114.751768	2460114.751768	0.429852	0.003105
134	60114.752011	2460114.752011	0.430870	0.002861
135	60114.752254	2460114.752254	0.429295	0.002859
136	60114.752498	2460114.752498	0.432472	0.002855
137	60114.752741	2460114.752741	0.430825	0.002909
138	60114.752984	2460114.752984	0.431151	0.002862
139	60114.753228	2460114.753228	0.429704	0.003838
140	60114.753472	2460114.753472	0.428792	0.003373
141	60114.753716	2460114.753716	0.429579	0.004097
142	60114.753959	2460114.753959	0.428785	0.003401
143	60114.754203	2460114.754203	0.434233	0.004121
144	60114.754447	2460114.754447	0.434468	0.005140
145	60114.754690	2460114.754690	0.433268	0.004917
146	60114.754933	2460114.754933	0.408474	0.042409
147	60114.755176	2460114.755176	0.437834	0.013438
148	60114.755420	2460114.755420	0.421276	0.009116
149	60114.755666	2460114.755666	0.431961	0.006142
150	60114.755909	2460114.755909	0.428569	0.015563
151	60114.756155	2460114.756155	0.436233	0.007519
152	60114.756398	2460114.756398	0.444406	0.029204
153	60114.756642	2460114.756642	0.438587	0.004791
154	60114.756887	2460114.756887	0.428703	0.004142
155	60114.757131	2460114.757131	0.431688	0.003965
156	60114.757374	2460114.757374	0.423208	0.004561
157	60114.757617	2460114.757617	0.432433	0.005727
158	60114.757860	2460114.757860	0.422643	0.004701
159	60114.758103	2460114.758103	0.429936	0.003474
160	60114.758347	2460114.758347	0.429542	0.003402
161	60114.758590	2460114.758590	0.429105	0.003164
162	60114.758833	2460114.758833	0.424836	0.004597
163	60114.759076	2460114.759076	0.429611	0.005071
164	60114.759319	2460114.759319	0.434598	0.005615
165	60114.759563	2460114.759563	0.418465	0.009185
166	60114.759807	2460114.759807	0.429613	0.007854
167	60114.760051	2460114.760051	0.399572	0.040475
168	60114.760294	2460114.760294	0.430979	0.009398
